,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BMI1,4.8405013,-0.03776717,-0.046346072,1.8338332,5.3612967,-0.035682183,7.5918236,-0.0048700324,3.4017706,-0.039046228,4.8749385,4.0593743,-0.07050289,1.9870723,-0.068529144,-0.08108597
ARNT2,4.832679,-0.03777921,-0.046468787,1.8254986,5.352303,-0.035591774,7.583591,-0.0047944305,3.388516,-0.03892443,4.8795323,4.053288,-0.07040318,1.9907373,-0.06864189,-0.080981016
BTG2,4.8470097,-0.03773714,-0.0462671,1.8368491,5.3638496,-0.035760697,7.593559,-0.0049020546,3.408265,-0.03914272,4.8715,4.062667,-0.07057572,1.9828844,-0.06844186,-0.08116178
MED4,4.847416,-0.037712205,-0.04627061,1.8359157,5.356267,-0.035708703,7.590451,-0.004860713,3.406229,-0.039091103,4.868764,4.0590167,-0.070551805,1.9860737,-0.06845433,-0.08115485
SOAT1,4.8281364,-0.03775949,-0.046503756,1.8261319,5.3356485,-0.035515107,7.57331,-0.0047149914,3.381744,-0.03890787,4.873817,4.0495896,-0.07038505,1.99236,-0.06863957,-0.08095854
TLE1,4.822646,-0.037688415,-0.04640717,1.8222446,5.3410554,-0.03552608,7.569249,-0.0047781365,3.379101,-0.038881138,4.8756156,4.048032,-0.0703113,1.9886733,-0.06854079,-0.08083256
NFATC2IP,4.913201,-0.033342067,-0.037323866,0.65682006,4.529565,-0.031676885,7.510494,-0.00039267688,3.1205745,-0.02192418,3.0734565,3.0095794,-0.056136545,2.030396,-0.060280282,-0.08003639
GM13597,0.95276177,-0.0039541405,-0.00028863893,0.42714372,1.7050983,-0.008976264,1.8718834,-0.0040248674,0.6698191,-0.014221402,1.2963203,1.2837646,-0.0129865715,0.5852857,-0.01112818,-0.017424168
SOX4,4.8352013,-0.03776242,-0.046408795,1.8302577,5.3521895,-0.03560436,7.5897207,-0.0047791176,3.3958232,-0.03895986,4.8740077,4.0524793,-0.070491135,1.9948078,-0.06856958,-0.081047915
YEATS2,4.844421,-0.037756015,-0.04639781,1.835097,5.358686,-0.035705872,7.59279,-0.004853483,3.4007256,-0.03909521,4.878052,4.062002,-0.0705723,1.9880731,-0.06858387,-0.081160136
TXNDC12,4.8587575,-0.037704255,-0.046128035,1.8447399,5.3729773,-0.035847344,7.6025496,-0.004981157,3.4227202,-0.039241955,4.8652444,4.0670753,-0.07065992,1.980206,-0.06833984,-0.08129291
ODC1,4.861795,-0.037608035,-0.045869563,1.8429316,5.3863435,-0.03596378,7.6033716,-0.0050625047,3.4288197,-0.039263282,4.859342,4.0696416,-0.07056703,1.9647064,-0.06810797,-0.08122724
GM24044,0.95276177,-0.0039541405,-0.00028863893,0.42714372,1.7050983,-0.008976264,1.8718834,-0.0040248674,0.6698191,-0.014221402,1.2963203,1.2837646,-0.0129865715,0.5852857,-0.01112818,-0.017424168
CRAMP1L,4.8163495,-0.037746295,-0.04653004,1.8223777,5.3216653,-0.035409044,7.565375,-0.0046682316,3.3771765,-0.038804915,4.8695917,4.0397263,-0.070339255,2.001082,-0.06859337,-0.08083643
YAF2,4.820306,-0.037659343,-0.04638008,1.8142108,5.3297973,-0.03547993,7.5645313,-0.004761888,3.3704822,-0.038745783,4.8696914,4.049641,-0.07017275,1.9790792,-0.06850338,-0.0807617
SLC25A4,4.850171,-0.037775636,-0.046391707,1.8376634,5.3610272,-0.035731126,7.594838,-0.004854643,3.4042866,-0.03914249,4.8782244,4.064748,-0.07060232,1.986444,-0.06859335,-0.08121782
GM14303,0.95276177,-0.0039541405,-0.00028863893,0.42714372,1.7050983,-0.008976264,1.8718834,-0.0040248674,0.6698191,-0.014221402,1.2963203,1.2837646,-0.0129865715,0.5852857,-0.01112818,-0.017424168
KRBA1,4.8325353,-0.037772346,-0.04649948,1.830006,5.3389254,-0.035569895,7.5770073,-0.004744524,3.387926,-0.03898927,4.8738537,4.0532637,-0.07047714,1.9923493,-0.06863091,-0.081048
MAGED1,4.793031,-0.037765417,-0.046684127,1.8084344,5.3095193,-0.035217658,7.5459666,-0.004542749,3.3574967,-0.03854466,4.8686466,4.0175076,-0.07012767,2.0113895,-0.06869527,-0.08057357
PDIA6,4.836944,-0.03773347,-0.046409953,1.8311323,5.3523145,-0.035629056,7.5835257,-0.0048227063,3.3915365,-0.039022136,4.877395,4.057654,-0.07046538,1.9876326,-0.06858416,-0.08104803
PHLDA3,4.8494663,-0.03776091,-0.046364993,1.8369937,5.3595343,-0.035718292,7.595287,-0.004867171,3.4059293,-0.039096363,4.8747034,4.06259,-0.07058124,1.9872302,-0.068569,-0.08120998
DCXR,4.8305135,-0.037747543,-0.046507437,1.8285652,5.3301077,-0.035519477,7.5731225,-0.0047049066,3.38565,-0.038935505,4.868989,4.047848,-0.070458636,1.9958392,-0.068621926,-0.081034906
COL27A1,5.1521726,-0.03199981,-0.038791202,0.78962874,4.439992,-0.029922813,7.3706713,0.05062312,2.9074557,-0.024392268,3.2446759,3.156907,-0.056912012,2.0613446,-0.06309494,-0.082614295
POLR2K,4.825221,-0.037742656,-0.046408754,1.8299649,5.331522,-0.035545453,7.5679517,-0.00474357,3.3865726,-0.038996123,4.865445,4.0503354,-0.07042278,1.9895377,-0.06849795,-0.08095337
FOXP1,4.841041,-0.03772562,-0.046374355,1.8304503,5.3511066,-0.03564012,7.589038,-0.004807456,3.3962553,-0.038985915,4.8730435,4.0563474,-0.07049394,1.9889406,-0.068548694,-0.081093214
NOTCH1,4.8609824,-0.03764424,-0.045996837,1.8447995,5.368818,-0.035885666,7.596751,-0.004987785,3.4249556,-0.03927079,4.856759,4.0662413,-0.07062465,1.973072,-0.06820058,-0.08127077
PHF14,4.847286,-0.03775777,-0.046424024,1.835009,5.3545904,-0.03569476,7.5894604,-0.00483009,3.3980708,-0.039104808,4.877766,4.0629196,-0.0705602,1.9859194,-0.06861433,-0.081184775
SOX15,4.8502865,-0.037781503,-0.04637543,1.8378099,5.3650813,-0.035786968,7.595996,-0.0048870314,3.4102607,-0.039181452,4.877249,4.0625143,-0.07066186,1.987873,-0.06855004,-0.08124125
PARVB,4.8470635,-0.03764326,-0.046221323,1.8326477,5.3562717,-0.035697516,7.589847,-0.004864191,3.4022079,-0.03903613,4.868003,4.0569158,-0.070496745,1.984335,-0.06841776,-0.08111235
FOSL2,4.8490696,-0.03778928,-0.046309583,1.8388721,5.3678203,-0.035761513,7.603529,-0.0048831585,3.4133427,-0.03912853,4.8724933,4.062813,-0.07063305,1.9894445,-0.06850361,-0.08122639
TAF6,4.858803,-0.037746932,-0.046235435,1.8429197,5.3726845,-0.035842415,7.6025023,-0.004946662,3.4185863,-0.039234117,4.8736405,4.0684485,-0.07066644,1.9815654,-0.06845808,-0.081289396
PURA,4.8550596,-0.03772929,-0.04635977,1.8359684,5.361001,-0.035756778,7.5989413,-0.0048666666,3.4069474,-0.039108,4.8761506,4.0635576,-0.07062276,1.9866877,-0.06857427,-0.08126555
GJB3,4.8584194,-0.037707645,-0.04620535,1.837794,5.372036,-0.035835426,7.602863,-0.0049222494,3.416725,-0.03916181,4.872375,4.063677,-0.0706321,1.9823829,-0.068424344,-0.08125054
SNORD43,0.95276177,-0.0039541405,-0.00028863893,0.42714372,1.7050983,-0.008976264,1.8718834,-0.0040248674,0.6698191,-0.014221402,1.2963203,1.2837646,-0.0129865715,0.5852857,-0.01112818,-0.017424168
HNRNPK,4.849649,-0.03774832,-0.04635908,1.8372461,5.359556,-0.035725787,7.5967607,-0.0048602605,3.4052742,-0.039112013,4.8731775,4.0626917,-0.070601925,1.987466,-0.06855241,-0.08123283
MYBBP1A,4.8376656,-0.03779262,-0.046463575,1.8315519,5.350297,-0.03563944,7.588698,-0.004803483,3.3980482,-0.039037645,4.8744297,4.0550814,-0.07056912,1.9962304,-0.068601035,-0.08113578
CREB3,4.841595,-0.037725735,-0.04622843,1.834864,5.357804,-0.03570438,7.590912,-0.004858071,3.407859,-0.039062407,4.865587,4.055849,-0.070527874,1.9868716,-0.06838662,-0.0810874
SLC5A11,4.8545127,-0.03771462,-0.04629238,1.8387096,5.365742,-0.035795875,7.599254,-0.0049269972,3.4123714,-0.039162602,4.8740373,4.065052,-0.070658036,1.9849147,-0.068490654,-0.08127211
ATF2,4.8507056,-0.037741363,-0.04628892,1.8372312,5.364193,-0.035763983,7.594574,-0.0048898486,3.4078884,-0.0391509,4.8738923,4.0639043,-0.0705789,1.9832684,-0.068491735,-0.08119007
GM8355,0.95276177,-0.0039541405,-0.00028863893,0.42714372,1.7050983,-0.008976264,1.8718834,-0.0040248674,0.6698191,-0.014221402,1.2963203,1.2837646,-0.0129865715,0.5852857,-0.01112818,-0.017424168
E2F6,4.854317,-0.037704412,-0.046178844,1.8376449,5.3661757,-0.035784543,7.597559,-0.0049091284,3.4128647,-0.03914055,4.8688726,4.0641713,-0.07056848,1.9805557,-0.0683938,-0.081192546
KRT8,4.818524,-0.037765525,-0.046537437,1.8213104,5.330315,-0.035453435,7.5675,-0.0046858424,3.3763258,-0.038822584,4.8732347,4.0432606,-0.07032507,1.9960709,-0.06863873,-0.080852285
FOXJ3,4.8550954,-0.037704222,-0.046183467,1.8398085,5.373964,-0.035845168,7.599927,-0.0049695186,3.415853,-0.039245874,4.869329,4.072049,-0.07062398,1.9750072,-0.068403,-0.08120731
TCL1,4.86118,-0.037744734,-0.046341762,1.8401868,5.373384,-0.035831265,7.60932,-0.0049182586,3.417073,-0.039186686,4.878111,4.065386,-0.07073285,1.9905075,-0.06857395,-0.08137046
FGF10,4.828665,-0.03778662,-0.04648612,1.8267266,5.344332,-0.03556281,7.5823827,-0.0047353827,3.389384,-0.038918942,4.8743052,4.0486827,-0.07045461,1.9963447,-0.06861324,-0.080990754
MYMX,4.863419,-0.037471995,-0.04568387,1.8439267,5.3803844,-0.03596827,7.594906,-0.0050486927,3.4302397,-0.03924593,4.842977,4.063689,-0.07047969,1.959963,-0.067954354,-0.08125149
ARID1A,3.3603644,-0.023172472,-0.025380222,1.2282397,4.1221347,-0.026591977,5.292806,-0.0057607507,2.4188192,-0.02823197,3.3551927,2.8915172,-0.04650411,1.2225513,-0.042931758,-0.055388182
HEY2,4.836039,-0.037716962,-0.04635338,1.8307936,5.3411727,-0.03559958,7.577669,-0.004790508,3.392914,-0.038994797,4.867677,4.054127,-0.07044244,1.9869754,-0.06850103,-0.081030756
GM44429,0.95276177,-0.0039541405,-0.00028863893,0.42714372,1.7050983,-0.008976264,1.8718834,-0.0040248674,0.6698191,-0.014221402,1.2963203,1.2837646,-0.0129865715,0.5852857,-0.01112818,-0.017424168
IRF4,4.8051634,-0.03774372,-0.046524342,1.81441,5.3203506,-0.035348617,7.555649,-0.0046385173,3.3695357,-0.03868395,4.8689785,4.0314813,-0.07020401,2.0008337,-0.0685827,-0.08066492
OVOL1,4.8592362,-0.037602097,-0.045798708,1.8476676,5.378749,-0.035892144,7.594296,-0.0050630914,3.4337974,-0.039238982,4.848891,4.064698,-0.07049695,1.9682443,-0.06807092,-0.081211254
SIN3A,1.1685594,-0.0035933177,0.006507163,0.47647694,1.7983664,-0.010719442,1.9748881,-0.0038662744,0.9197171,-0.013872705,1.2159986,1.2031503,-0.014355428,0.5465461,-0.011782332,-0.020112101
MIR291B,0.95254815,-0.0039180056,-0.0002643235,0.42774668,1.7040454,-0.008960255,1.8697081,-0.004019963,0.6725681,-0.014200386,1.294304,1.2863779,-0.013008733,0.58554256,-0.011091451,-0.017385786
EIF4A2,4.870902,-0.037616134,-0.04592884,1.846127,5.390635,-0.035988864,7.6065106,-0.005113302,3.4275792,-0.03933417,4.867893,4.0772977,-0.070599236,1.9624218,-0.06821608,-0.08129353
ZFP989,0.95276177,-0.0039541405,-0.00028863893,0.42714372,1.7050983,-0.008976264,1.8718834,-0.0040248674,0.6698191,-0.014221402,1.2963203,1.2837646,-0.0129865715,0.5852857,-0.01112818,-0.017424168
NR2F2,3.5334332,-0.026335854,-0.027904173,2.8044188,4.6395206,-0.023372516,5.862944,-0.013056714,3.2770627,-0.04394448,3.8188963,3.5462596,-0.060689263,2.4638844,-0.051181965,-0.06528728
LDLRAP1,4.8447547,-0.037721705,-0.046340354,1.8336426,5.348467,-0.035651844,7.5885286,-0.0048170825,3.3994436,-0.03902293,4.8693423,4.058888,-0.07051105,1.9864279,-0.06852087,-0.08113757
BAZ1A,4.4484777,-0.034513902,-0.046483826,1.1585736,4.6796207,-0.032514337,7.269863,-0.00031274362,3.223201,-0.030638892,4.9343915,3.4951582,-0.072170764,2.3017008,-0.063134424,-0.07477697
MCM2,4.830802,-0.037731398,-0.04633184,1.8337533,5.343027,-0.035590477,7.5784464,-0.004798781,3.3963108,-0.039018925,4.8654637,4.051958,-0.07047467,1.9912018,-0.068454236,-0.081008226
PHF12,3.553167,-0.026374694,-0.02790711,2.8103337,4.6559587,-0.023541564,5.8775578,-0.013145334,3.2900088,-0.044101756,3.8260157,3.559832,-0.060838502,2.455209,-0.051232934,-0.06551201
